rho,gamma,alpha,kappa,beta_judge,top1_hit,top3_hit,posterior_consistency,map_match_rate,weighted_score
0.9,0.0,5.0,0.2,4.0,0.3523489932885906,0.7550335570469798,0.5517178823396832,0.8409090909090909,0.7401330822641539
0.9,0.0,7.0,0.3,2.0,0.33557046979865773,0.738255033557047,0.5805588193727834,0.8446969696969697,0.7386483715621711
0.9,0.2,7.0,0.2,2.0,0.3389261744966443,0.7516778523489933,0.581070684944948,0.8181818181818182,0.7375076086180318
0.9,0.0,7.0,0.4,4.0,0.3288590604026846,0.7583892617449665,0.5699781965870567,0.8106060606060606,0.7363720883717126
0.9,0.0,7.0,0.2,2.0,0.3422818791946309,0.7281879194630873,0.5763489277692636,0.8484848484848485,0.7339091998308509
0.9,0.2,7.0,0.3,2.0,0.3053691275167785,0.7449664429530202,0.5712474997953024,0.8181818181818182,0.732187266890116
0.9,0.4,7.0,0.4,4.0,0.3724832214765101,0.7651006711409396,0.5770205169855618,0.7613636363636364,0.7263635298766731
0.9,0.0,7.0,0.4,2.0,0.348993288590604,0.7416107382550335,0.570130661470131,0.803030303030303,0.7257405923306339
0.8,0.0,7.0,0.2,4.0,0.3422818791946309,0.714765100671141,0.5786682366094462,0.8409090909090909,0.725388924930187
0.9,0.0,5.0,0.2,2.0,0.3288590604026846,0.738255033557047,0.5466323046858907,0.8181818181818182,0.7239085231702471
0.9,0.6,7.0,0.3,4.0,0.3724832214765101,0.7751677852348994,0.5730484220123091,0.7386363636363636,0.7237844861108207
0.9,0.2,5.0,0.3,4.0,0.3691275167785235,0.7583892617449665,0.5521480546823191,0.7803030303030303,0.7237151508998562
0.9,0.4,7.0,0.2,4.0,0.3724832214765101,0.7281879194630873,0.5840233278400757,0.8068181818181818,0.7229440798450133
0.8,0.0,7.0,0.2,2.0,0.33557046979865773,0.7348993288590604,0.5590766708215859,0.8068181818181818,0.7213104531393019
0.9,0.0,5.0,0.3,2.0,0.3523489932885906,0.7348993288590604,0.546842811706193,0.8143939393939394,0.7211364085889507
0.9,0.2,7.0,0.3,4.0,0.3389261744966443,0.7315436241610739,0.5716912354891985,0.803030303030303,0.7210191500874675
0.9,0.4,7.0,0.2,2.0,0.3624161073825503,0.738255033557047,0.5703030817932732,0.7878787878787878,0.7195517695008145
0.9,0.6,7.0,0.4,4.0,0.35570469798657717,0.7785234899328859,0.5623896220196779,0.7234848484848485,0.718785123915833
0.7,0.2,7.0,0.2,4.0,0.3389261744966443,0.7785234899328859,0.5677222751658829,0.7196969696969697,0.7187152909087104
0.9,0.8,7.0,0.2,4.0,0.34563758389261745,0.7785234899328859,0.5659980034294763,0.7196969696969697,0.7183704365614292
0.9,0.6,7.0,0.2,2.0,0.348993288590604,0.7550335570469798,0.5671378519905944,0.7575757575757576,0.7182170761943361
0.9,0.8,7.0,0.2,2.0,0.3389261744966443,0.7718120805369127,0.5632231215827205,0.7310606060606061,0.7178688464031823
0.9,0.4,7.0,0.4,2.0,0.35906040268456374,0.7718120805369127,0.5631984511239624,0.7310606060606061,0.7178639123114307
0.9,0.4,7.0,0.3,2.0,0.3624161073825503,0.7550335570469798,0.5700419853919032,0.7537878787878788,0.7176615392382342
0.9,0.0,5.0,0.3,4.0,0.33221476510067116,0.7281879194630873,0.5502064915241731,0.8106060606060606,0.7173170762181964
0.9,0.0,7.0,0.3,4.0,0.3389261744966443,0.714765100671141,0.5807228342339911,0.8106060606060606,0.7167089353641869
0.9,0.2,5.0,0.2,2.0,0.3422818791946309,0.738255033557047,0.5471234778563124,0.7916666666666666,0.7160522123497861
0.9,0.6,7.0,0.2,4.0,0.35570469798657717,0.7550335570469798,0.5665743089317329,0.7462121212121212,0.7146952766734729
0.9,0.8,7.0,0.3,4.0,0.3389261744966443,0.7684563758389261,0.5656556733689004,0.7234848484848485,0.7144047771386978
0.6,0.0,7.0,0.2,4.0,0.3523489932885906,0.7651006711409396,0.5520584140735358,0.7348484848484849,0.7134165638397224
0.9,0.4,5.0,0.2,2.0,0.3859060402684564,0.7550335570469798,0.5486377198005138,0.7537878787878788,0.7133806861199563
0.8,0.0,5.0,0.3,4.0,0.34563758389261745,0.7751677852348994,0.5372792130307703,0.7234848484848485,0.7120851897690583
0.9,0.2,7.0,0.2,4.0,0.31208053691275167,0.7080536912751678,0.5671979259590647,0.8143939393939394,0.7117846126475788
0.8,0.0,7.0,0.3,2.0,0.3389261744966443,0.7315436241610739,0.5701527067539657,0.7727272727272727,0.711620535249512
0.8,0.0,5.0,0.2,4.0,0.3288590604026846,0.7483221476510067,0.5367953909801418,0.7651515151515151,0.7110656065669863
0.9,0.2,5.0,0.2,4.0,0.3523489932885906,0.7348993288590604,0.5462788899481378,0.7765151515151515,0.7096599878737032
0.7,0.0,7.0,0.2,2.0,0.33557046979865773,0.7315436241610739,0.5600064861609144,0.7727272727272727,0.7095912911309017
0.9,0.4,5.0,0.2,4.0,0.3691275167785235,0.7516778523489933,0.542039508509173,0.75,0.7092468278763313
0.8,0.0,5.0,0.2,2.0,0.33557046979865773,0.7348993288590604,0.5384589532509636,0.7803030303030303,0.7092323641706321
0.9,0.8,7.0,0.3,2.0,0.35570469798657717,0.761744966442953,0.5599245561756792,0.7196969696969697,0.7087664853657033
0.9,0.2,5.0,0.4,4.0,0.348993288590604,0.7516778523489933,0.5535989860881292,0.7386363636363636,0.7081496324830315
0.9,0.2,5.0,0.4,2.0,0.31543624161073824,0.7550335570469798,0.538595702483131,0.7424242424242424,0.7079631917473889
